sym_tag,po_tag,eff_tag,n,beta1_OR,poregbias,poregcov,poregp,wpbias,wpcov,wpp,bin7bias,bin7cov,bin7p,linbias,lincov,linp,pobiasz,wpbiasz,bin7biasz,linbiasz,nonPO_d0_bias,nonPO_d15_bias,nonPO_d30_bias,nonPO_d0_Zbias,nonPO_d15_Zbias,nonPO_d30_Zbias,nonPO_d0_cov,nonPO_d15_cov,nonPO_d30_cov,nonPO_d0_pow,nonPO_d15_pow,nonPO_d30_pow,sumnonpoErrFlag,nonPO_pow,nonpoLRTpower,nonpoConvProp
Symmetric,POMet,attenuatedeffects,600,1,-0.0045,95%,5%,-0.0007,95%,5%,-0.004,95%,5%,-0.012,95%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,94%,95%,96%,6%,5%,4%,0,13%,5%,100%
Symmetric,POViolated,attenuatedeffects,600,0.5,0.1569,81%,96%,0.0249,82%,96%,-0.008,95%,66%,-0.0138,95%,93%,-23%,6%,2%,1%,-0.0084,-0.0108,-0.0054,1%,2%,1%,95%,94%,95%,96%,94%,65%,0,98%,93%,100%
Symmetric,POViolated,attenuatedeffects,600,0.6,0.1655,79%,68%,0.0265,81%,68%,-0.0062,96%,24%,-0.0143,95%,61%,-32%,6%,3%,2%,-0.0069,-0.0109,-0.0045,1%,3%,2%,94%,94%,95%,77%,68%,24%,2,84%,72%,100%
Symmetric,POViolated,attenuatedeffects,600,0.7,0.1727,78%,26%,0.0279,79%,27%,-0.0048,95%,5%,-0.0133,95%,22%,-48%,6%,8%,4%,-0.0067,-0.0095,-0.0058,2%,5%,10%,94%,95%,95%,48%,31%,6%,8,53%,55%,99%
Symmetric,POViolated,attenuatedeffects,600,0.8,0.1790,77%,6%,0.029,77%,6%,-0.0056,96%,7%,-0.0128,95%,6%,-80%,6%,-7%,22%,-0.0037,-0.0086,-0.0043,2%,12%,-6%,94%,95%,96%,21%,9%,8%,7,30%,47%,99%
Symmetric,POViolated,attenuatedeffects,600,0.9,0.1841,75%,9%,0.0299,75%,9%,-0.0075,95%,21%,-0.0133,95%,10%,-175%,6%,-4%,-7%,-0.0022,-0.0083,-0.0047,2%,-19%,-2%,93%,94%,96%,9%,6%,21%,15,30%,50%,99%
Symmetric,POViolated,attenuatedeffects,600,1,0.1893,75%,25%,0.0307,75%,25%,-0.0068,96%,41%,-0.0121,95%,26%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,94%,94%,96%,6%,16%,46%,12,50%,59%,99%
Heavy0,POMet,strengthenedeffects,1200,0.5,-0.0041,95%,100%,0.0319,36%,100%,-0.0097,96%,94%,-0.0043,95%,100%,1%,8%,1%,1%,-0.0036,-0.0074,-0.0129,1%,1%,2%,95%,96%,96%,100%,100%,89%,0,100%,99%,100%
Heavy0,POMet,strengthenedeffects,1200,0.6,-0.0039,96%,99%,0.0216,66%,99%,-0.0093,96%,75%,-0.0044,95%,97%,1%,5%,2%,1%,-0.0035,-0.0060,-0.0084,1%,1%,2%,95%,95%,96%,99%,96%,69%,0,100%,87%,100%
Heavy0,POMet,strengthenedeffects,1200,0.7,-0.0030,95%,86%,0.0139,84%,86%,-0.0042,96%,47%,-0.0048,95%,78%,1%,3%,1%,1%,-0.0020,-0.0061,-0.0070,1%,2%,2%,95%,96%,96%,84%,74%,39%,0,90%,54%,100%
Heavy0,POMet,strengthenedeffects,1200,0.8,-0.0029,95%,52%,0.0079,91%,52%,-0.0047,95%,24%,-0.0049,95%,41%,1%,2%,2%,2%,-0.0022,-0.0054,-0.0052,1%,2%,2%,95%,96%,95%,48%,40%,19%,0,59%,20%,100%
Heavy0,POMet,strengthenedeffects,1200,0.9,-0.0027,95%,14%,0.0033,94%,14%,-0.0047,96%,8%,-0.0055,96%,14%,3%,1%,4%,4%,-0.0018,-0.0054,-0.0046,2%,5%,4%,95%,96%,96%,14%,13%,7%,0,22%,7%,100%
Heavy0,POMet,strengthenedeffects,1200,1,-0.0026,94%,6%,-0.0003,94%,6%,-0.0028,95%,5%,-0.0051,95%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,96%,95%,6%,4%,5%,0,11%,6%,100%
Heavy0,POViolated,strengthenedeffects,1200,0.5,-0.0457,95%,100%,0.0272,49%,100%,-0.0167,96%,100%,-0.0037,95%,100%,7%,7%,2%,0%,-0.0036,-0.0079,-0.0187,1%,1%,2%,95%,96%,95%,100%,100%,99%,0,100%,100%,100%
Heavy0,POViolated,strengthenedeffects,1200,0.6,-0.0498,94%,100%,0.0162,78%,100%,-0.0142,96%,98%,-0.0043,95%,100%,10%,4%,2%,1%,-0.0035,-0.0073,-0.0138,1%,1%,2%,95%,96%,96%,99%,100%,95%,0,100%,98%,100%
Heavy0,POViolated,strengthenedeffects,1200,0.7,-0.0524,94%,93%,0.0079,91%,93%,-0.0109,95%,92%,-0.0043,95%,97%,15%,2%,2%,1%,-0.0020,-0.0060,-0.0124,1%,1%,2%,95%,96%,96%,84%,96%,86%,0,98%,86%,100%
Heavy0,POViolated,strengthenedeffects,1200,0.8,-0.0557,93%,67%,0.0013,95%,67%,-0.0089,95%,77%,-0.0048,96%,83%,25%,0%,2%,1%,-0.0022,-0.0061,-0.0086,1%,2%,2%,95%,95%,96%,48%,79%,71%,0,88%,66%,100%
Heavy0,POViolated,strengthenedeffects,1200,0.9,-0.0584,92%,29%,-0.0038,95%,29%,-0.0051,96%,55%,-0.0049,95%,52%,55%,-1%,1%,1%,-0.0018,-0.0055,-0.0078,2%,2%,2%,95%,95%,96%,14%,49%,48%,0,62%,46%,100%
Heavy0,POViolated,strengthenedeffects,1200,1,0.0634,91%,9%,0.0083,91%,9%,-0.0058,96%,42%,-0.0061,96%,25%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,94%,95%,96%,6%,20%,36%,98,43%,73%,90%
Heavy0,POMet,attenuatedeffects,1200,0.5,-0.0041,95%,100%,0.0319,36%,100%,-0.0097,96%,94%,-0.0043,95%,100%,1%,8%,1%,1%,-0.0036,-0.0074,-0.0129,1%,1%,2%,95%,96%,96%,100%,100%,89%,0,100%,99%,100%
Heavy0,POMet,attenuatedeffects,1200,0.6,-0.0039,96%,99%,0.0216,66%,99%,-0.0093,96%,75%,-0.0044,95%,97%,1%,5%,2%,1%,-0.0035,-0.0060,-0.0084,1%,1%,2%,95%,95%,96%,99%,96%,69%,0,100%,87%,100%
Heavy0,POMet,attenuatedeffects,1200,0.7,-0.0030,95%,86%,0.0139,84%,86%,-0.0042,96%,47%,-0.0048,95%,78%,1%,3%,1%,1%,-0.0020,-0.0061,-0.0070,1%,2%,2%,95%,96%,96%,84%,74%,39%,0,90%,54%,100%
Heavy0,POMet,attenuatedeffects,1200,0.8,-0.0029,95%,52%,0.0079,91%,52%,-0.0047,95%,24%,-0.0049,95%,41%,1%,2%,2%,2%,-0.0022,-0.0054,-0.0052,1%,2%,2%,95%,96%,95%,48%,40%,19%,0,59%,20%,100%
Heavy0,POMet,attenuatedeffects,1200,0.9,-0.0027,95%,14%,0.0033,94%,14%,-0.0047,96%,8%,-0.0055,96%,14%,3%,1%,4%,4%,-0.0018,-0.0054,-0.0046,2%,5%,4%,95%,96%,96%,14%,13%,7%,0,22%,7%,100%
Heavy0,POMet,attenuatedeffects,1200,1,-0.0026,94%,6%,-0.0003,94%,6%,-0.0028,95%,5%,-0.0051,95%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,96%,95%,6%,4%,5%,0,11%,6%,100%
Heavy0,POViolated,attenuatedeffects,1200,0.5,0.0438,93%,100%,0.0373,22%,100%,-0.0047,96%,53%,-0.0044,95%,98%,-6%,10%,1%,1%,-0.0036,-0.0063,-0.0075,1%,1%,2%,95%,95%,96%,100%,98%,46%,0,100%,100%,100%
Heavy0,POViolated,attenuatedeffects,1200,0.6,0.0485,93%,98%,0.0278,50%,98%,-0.0047,95%,23%,-0.005,95%,77%,-9%,7%,2%,1%,-0.0052,-0.0085,-0.0091,1%,2%,4%,95%,96%,96%,99%,77%,17%,12,99%,97%,99%
Heavy0,POViolated,attenuatedeffects,1200,0.7,0.0537,92%,73%,0.0208,69%,73%,-0.003,95%,5%,-0.0046,96%,33%,-15%,5%,5%,2%,-0.0067,-0.0129,-0.0148,2%,6%,26%,95%,96%,96%,85%,38%,5%,46,86%,89%,95%
Heavy0,POViolated,attenuatedeffects,1200,0.8,0.0572,92%,29%,0.0155,82%,29%,-0.003,95%,6%,-0.0051,96%,7%,-26%,3%,-4%,6%,-0.0069,-0.0118,-0.0107,3%,16%,-14%,95%,95%,95%,49%,9%,6%,71,54%,76%,93%
Heavy0,POViolated,attenuatedeffects,1200,0.9,0.0607,91%,6%,0.0114,88%,6%,-0.0051,96%,21%,-0.0053,96%,6%,-58%,2%,-3%,-6%,-0.0036,-0.0079,-0.0060,3%,-18%,-3%,95%,96%,96%,14%,6%,16%,87,32%,72%,91%
Heavy0,POViolated,attenuatedeffects,1200,1,0.0634,91%,9%,0.0083,91%,9%,-0.0058,96%,42%,-0.0061,96%,25%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,94%,95%,96%,6%,20%,36%,98,43%,73%,90%
Symmetric,POMet,strengthenedeffects,1200,0.5,-0.0036,94%,100%,-0.0005,94%,100%,-0.0036,95%,100%,-0.0058,95%,100%,1%,0%,1%,0%,-0.0024,-0.0043,-0.0052,0%,1%,1%,95%,95%,95%,100%,100%,100%,0,100%,100%,100%
Symmetric,POMet,strengthenedeffects,1200,0.6,-0.0034,94%,100%,-0.0006,94%,100%,-0.0035,95%,99%,-0.0059,94%,100%,1%,0%,1%,1%,-0.0023,-0.0038,-0.0047,0%,1%,1%,95%,95%,96%,97%,100%,99%,0,100%,96%,100%
Symmetric,POMet,strengthenedeffects,1200,0.7,-0.0035,94%,94%,-0.0007,94%,94%,-0.002,95%,84%,-0.006,94%,94%,1%,0%,1%,1%,-0.0014,-0.0036,-0.0045,0%,1%,1%,95%,94%,96%,72%,92%,85%,0,95%,67%,100%
Symmetric,POMet,strengthenedeffects,1200,0.8,-0.0033,94%,62%,-0.0007,94%,62%,-0.0022,95%,48%,-0.0055,94%,61%,1%,0%,1%,1%,-0.0033,-0.0027,-0.0038,1%,1%,2%,95%,94%,95%,37%,56%,49%,0,71%,26%,100%
Symmetric,POMet,strengthenedeffects,1200,0.9,-0.0027,94%,20%,-0.0005,94%,20%,-0.0018,95%,14%,-0.0049,95%,19%,3%,0%,2%,2%,-0.0008,-0.0022,-0.0033,1%,2%,3%,95%,95%,95%,13%,16%,15%,0,27%,7%,100%
Symmetric,POMet,strengthenedeffects,1200,1,-0.0022,94%,6%,-0.0004,94%,6%,-0.0021,95%,6%,-0.0047,95%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,95%,95%,5%,5%,5%,0,12%,4%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.5,-0.1547,70%,100%,-0.0236,69%,100%,-0.0055,95%,100%,-0.0058,94%,100%,22%,-6%,1%,0%,-0.0024,-0.0049,-0.0063,0%,1%,1%,95%,95%,96%,100%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.6,-0.1620,67%,100%,-0.0256,66%,100%,-0.0051,96%,100%,-0.006,94%,100%,32%,-6%,1%,0%,-0.0023,-0.0041,-0.0063,0%,1%,1%,95%,94%,96%,97%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.7,-0.1677,64%,100%,-0.027,62%,100%,-0.0039,95%,100%,-0.0055,94%,100%,47%,-6%,1%,0%,-0.0014,-0.0038,-0.0048,0%,1%,1%,95%,95%,95%,72%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.8,-0.1737,61%,97%,-0.0282,60%,97%,-0.0036,95%,99%,-0.0061,94%,98%,78%,-6%,1%,1%,-0.0033,-0.0034,-0.0047,1%,1%,1%,95%,94%,96%,37%,94%,99%,0,99%,94%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.9,-0.1778,59%,81%,-0.029,59%,81%,-0.0024,95%,92%,-0.0051,94%,84%,169%,-6%,1%,1%,-0.0008,-0.0027,-0.0045,1%,1%,1%,95%,94%,95%,13%,68%,92%,0,94%,83%,100%
Symmetric,POViolated,strengthenedeffects,1200,1,0.1908,53%,47%,0.031,53%,47%,-0.0036,94%,72%,-0.0053,94%,48%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,95%,95%,5%,27%,75%,0,78%,91%,100%
Symmetric,POMet,attenuatedeffects,1200,0.5,-0.0036,94%,100%,-0.0005,94%,100%,-0.0036,95%,100%,-0.0058,95%,100%,1%,0%,1%,0%,-0.0024,-0.0043,-0.0052,0%,1%,1%,95%,95%,95%,100%,100%,100%,0,100%,100%,100%
Symmetric,POMet,attenuatedeffects,1200,0.6,-0.0034,94%,100%,-0.0006,94%,100%,-0.0035,95%,99%,-0.0059,94%,100%,1%,0%,1%,1%,-0.0023,-0.0038,-0.0047,0%,1%,1%,95%,95%,96%,97%,100%,99%,0,100%,96%,100%
Symmetric,POMet,attenuatedeffects,1200,0.7,-0.0035,94%,94%,-0.0007,94%,94%,-0.002,95%,84%,-0.006,94%,94%,1%,0%,1%,1%,-0.0014,-0.0036,-0.0045,0%,1%,1%,95%,94%,96%,72%,92%,85%,0,95%,67%,100%
Symmetric,POMet,attenuatedeffects,1200,0.8,-0.0033,94%,62%,-0.0007,94%,62%,-0.0022,95%,48%,-0.0055,94%,61%,1%,0%,1%,1%,-0.0033,-0.0027,-0.0038,1%,1%,2%,95%,94%,95%,37%,56%,49%,0,71%,26%,100%
Symmetric,POMet,attenuatedeffects,1200,0.9,-0.0027,94%,20%,-0.0005,94%,20%,-0.0018,95%,14%,-0.0049,95%,19%,3%,0%,2%,2%,-0.0008,-0.0022,-0.0033,1%,2%,3%,95%,95%,95%,13%,16%,15%,0,27%,7%,100%
Symmetric,POMet,attenuatedeffects,1200,1,-0.0022,94%,6%,-0.0004,94%,6%,-0.0021,95%,6%,-0.0047,95%,5%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,95%,95%,5%,5%,5%,0,12%,4%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.5,0.1607,66%,100%,0.0253,66%,100%,-0.0026,95%,90%,-0.0061,94%,100%,-23%,7%,1%,1%,-0.0024,-0.0040,-0.0046,0%,1%,1%,95%,94%,95%,100%,100%,91%,0,100%,100%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.6,0.1685,63%,93%,0.0269,64%,93%,-0.0026,95%,43%,-0.0059,94%,88%,-33%,6%,1%,1%,-0.0023,-0.0035,-0.0037,0%,1%,2%,95%,94%,95%,97%,92%,45%,0,98%,98%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.7,0.1755,59%,42%,0.0283,60%,42%,-0.0018,95%,7%,-0.0051,94%,35%,-49%,6%,3%,1%,-0.0014,-0.0026,-0.0033,0%,1%,6%,95%,94%,95%,72%,49%,8%,0,77%,90%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.8,0.1808,57%,7%,0.0293,57%,7%,-0.0027,94%,10%,-0.0056,95%,7%,-81%,6%,-3%,9%,-0.0033,-0.0021,-0.0034,1%,3%,-4%,95%,95%,95%,37%,11%,10%,0,46%,85%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.9,0.1860,54%,12%,0.0302,54%,12%,-0.0027,94%,36%,-0.0054,95%,14%,-177%,6%,-1%,-3%,-0.0008,-0.0018,-0.0033,1%,-4%,-2%,95%,95%,95%,13%,7%,38%,0,49%,87%,100%
Symmetric,POViolated,attenuatedeffects,1200,1,0.1908,53%,47%,0.031,53%,47%,-0.0036,94%,72%,-0.0053,94%,48%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,95%,95%,95%,5%,27%,75%,0,78%,91%,100%
Heavy0,POMet,strengthenedeffects,2400,0.5,0.0004,96%,100%,0.0322,8%,100%,-0.002,95%,100%,0.0004,95%,100%,0%,8%,0%,0%,0.0007,-0.0021,-0.0018,0%,0%,0%,96%,95%,96%,100%,100%,99%,0,100%,100%,100%
Heavy0,POMet,strengthenedeffects,2400,0.6,0.0005,95%,100%,0.022,40%,100%,-0.0029,95%,96%,0.0006,95%,100%,0%,5%,1%,0%,0.0005,-0.0011,-0.0010,0%,0%,0%,96%,95%,95%,100%,100%,92%,0,100%,100%,100%
Heavy0,POMet,strengthenedeffects,2400,0.7,0.0007,96%,99%,0.0143,71%,99%,-0.0043,94%,74%,0.001,95%,97%,0%,3%,1%,0%,0.0006,0.0000,-0.0006,0%,0%,0%,96%,96%,95%,99%,96%,67%,0,100%,87%,100%
Heavy0,POMet,strengthenedeffects,2400,0.8,0.0011,96%,78%,0.0084,88%,78%,-0.0031,95%,42%,0.0009,95%,68%,0%,2%,1%,0%,0.0012,0.0002,-0.0010,-1%,0%,0%,96%,96%,95%,73%,65%,35%,0,82%,40%,100%
Heavy0,POMet,strengthenedeffects,2400,0.9,0.0010,95%,25%,0.0038,95%,25%,-0.0007,94%,12%,0.0014,96%,23%,-1%,1%,1%,-1%,0.0010,0.0010,-0.0005,-1%,-1%,0%,96%,96%,95%,24%,20%,13%,0,34%,10%,100%
Heavy0,POMet,strengthenedeffects,2400,1,0.0003,96%,4%,0,96%,4%,-0.0018,95%,6%,0.0005,96%,4%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,96%,96%,95%,4%,4%,5%,0,11%,4%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.5,-0.0414,94%,100%,0.0275,18%,100%,-0.0022,96%,100%,0.0003,95%,100%,6%,7%,0%,0%,0.0007,-0.0024,-0.0042,0%,0%,0%,96%,95%,95%,100%,100%,100%,0,100%,100%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.6,-0.0456,93%,100%,0.0166,62%,100%,-0.003,96%,100%,0.0004,95%,100%,9%,4%,0%,0%,0.0005,-0.0019,-0.0027,0%,0%,0%,96%,95%,95%,100%,100%,100%,0,100%,100%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.7,-0.0490,92%,100%,0.0082,89%,100%,-0.0022,95%,99%,0.0007,95%,100%,14%,2%,0%,0%,0.0006,-0.0010,-0.0017,0%,0%,0%,96%,95%,95%,99%,100%,99%,0,100%,99%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.8,-0.0517,91%,93%,0.0018,95%,93%,-0.0028,95%,96%,0.0012,95%,98%,23%,0%,1%,0%,0.0012,-0.0002,-0.0012,-1%,0%,0%,96%,96%,95%,73%,97%,93%,0,98%,93%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.9,-0.0548,90%,51%,-0.0034,94%,51%,-0.004,95%,83%,0.0012,95%,80%,52%,-1%,1%,0%,0.0010,0.0006,-0.0015,-1%,0%,0%,96%,96%,95%,24%,76%,77%,0,85%,79%,100%
Heavy0,POViolated,strengthenedeffects,2400,1,0.0667,88%,12%,0.0087,88%,12%,0.0005,96%,70%,0.0013,96%,45%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,96%,96%,94%,4%,38%,63%,12,68%,98%,99%
Heavy0,POMet,attenuatedeffects,2400,0.5,0.0004,96%,100%,0.0322,8%,100%,-0.002,95%,100%,0.0004,95%,100%,0%,8%,0%,0%,0.0007,-0.0021,-0.0018,0%,0%,0%,96%,95%,96%,100%,100%,99%,0,100%,100%,100%
Heavy0,POMet,attenuatedeffects,2400,0.6,0.0005,95%,100%,0.022,40%,100%,-0.0029,95%,96%,0.0006,95%,100%,0%,5%,1%,0%,0.0005,-0.0011,-0.0010,0%,0%,0%,96%,95%,95%,100%,100%,92%,0,100%,100%,100%
Heavy0,POMet,attenuatedeffects,2400,0.7,0.0007,96%,99%,0.0143,71%,99%,-0.0043,94%,74%,0.001,95%,97%,0%,3%,1%,0%,0.0006,0.0000,-0.0006,0%,0%,0%,96%,96%,95%,99%,96%,67%,0,100%,87%,100%
Heavy0,POMet,attenuatedeffects,2400,0.8,0.0011,96%,78%,0.0084,88%,78%,-0.0031,95%,42%,0.0009,95%,68%,0%,2%,1%,0%,0.0012,0.0002,-0.0010,-1%,0%,0%,96%,96%,95%,73%,65%,35%,0,82%,40%,100%
Heavy0,POMet,attenuatedeffects,2400,0.9,0.0010,95%,25%,0.0038,95%,25%,-0.0007,94%,12%,0.0014,96%,23%,-1%,1%,1%,-1%,0.0010,0.0010,-0.0005,-1%,-1%,0%,96%,96%,95%,24%,20%,13%,0,34%,10%,100%
Heavy0,POMet,attenuatedeffects,2400,1,0.0003,96%,4%,0,96%,4%,-0.0018,95%,6%,0.0005,96%,4%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,96%,96%,95%,4%,4%,5%,0,11%,4%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.5,0.0486,92%,100%,0.0377,2%,100%,-0.0046,95%,81%,0.0005,95%,100%,-7%,10%,1%,0%,0.0005,-0.0012,-0.0016,0%,0%,0%,96%,95%,95%,100%,100%,75%,2,100%,100%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.6,0.0532,91%,100%,0.0282,19%,100%,-0.0029,95%,39%,0.0008,96%,96%,-10%,7%,1%,0%,0.0005,-0.0001,-0.0010,0%,0%,0%,96%,96%,95%,100%,96%,33%,0,100%,100%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.7,0.0572,90%,95%,0.0212,45%,95%,-0.0016,95%,7%,0.0008,96%,57%,-16%,5%,3%,0%,0.0003,0.0000,-0.0015,0%,0%,3%,96%,96%,95%,99%,59%,9%,3,99%,100%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.8,0.0613,89%,51%,0.0159,66%,51%,-0.0006,95%,11%,0.0011,96%,10%,-27%,3%,-1%,-1%,0.0004,-0.0004,-0.0017,0%,1%,-2%,96%,96%,94%,74%,11%,10%,16,79%,98%,98%
Heavy0,POViolated,attenuatedeffects,2400,0.9,0.0644,88%,8%,0.0119,80%,8%,0.0007,96%,36%,0.0015,96%,10%,-61%,2%,0%,2%,0.0004,0.0008,-0.0009,0%,2%,0%,96%,96%,94%,24%,8%,32%,14,54%,97%,99%
Heavy0,POViolated,attenuatedeffects,2400,1,0.0667,88%,12%,0.0087,88%,12%,0.0005,96%,70%,0.0013,96%,45%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,96%,96%,94%,4%,38%,63%,12,68%,98%,99%
Symmetric,POMet,strengthenedeffects,2400,0.5,0.0000,96%,100%,0,96%,100%,0.0007,96%,100%,0.0024,96%,100%,0%,0%,0%,0%,-0.0043,0.0015,0.0000,1%,0%,0%,97%,96%,96%,100%,100%,100%,0,100%,100%,100%
Symmetric,POMet,strengthenedeffects,2400,0.6,0.0003,96%,100%,-0.0001,96%,100%,0.0005,96%,100%,0.0026,96%,100%,0%,0%,0%,0%,-0.0025,0.0014,0.0005,0%,0%,0%,96%,96%,96%,100%,100%,100%,0,100%,100%,100%
Symmetric,POMet,strengthenedeffects,2400,0.7,0.0006,96%,100%,-0.0001,96%,100%,0.0006,96%,99%,0.0026,96%,100%,0%,0%,0%,0%,-0.0020,0.0014,0.0007,1%,0%,0%,96%,96%,96%,97%,100%,99%,0,100%,96%,100%
Symmetric,POMet,strengthenedeffects,2400,0.8,0.0006,97%,89%,-0.0001,96%,89%,0.0012,96%,73%,0.0019,97%,89%,0%,0%,-1%,0%,-0.0004,0.0009,0.0005,0%,0%,0%,97%,96%,96%,62%,85%,76%,0,93%,51%,100%
Symmetric,POMet,strengthenedeffects,2400,0.9,0.0008,97%,30%,0.0001,96%,30%,0.001,96%,24%,0.0022,96%,30%,-1%,0%,-1%,-1%,-0.0003,0.0010,0.0011,0%,-1%,-1%,96%,96%,96%,18%,26%,24%,0,42%,11%,100%
Symmetric,POMet,strengthenedeffects,2400,1,0.0008,97%,3%,0.0001,97%,3%,0,96%,4%,0.0017,97%,3%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,96%,96%,96%,4%,4%,4%,0,10%,3%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.5,-0.1512,47%,100%,-0.0232,46%,100%,0.0012,95%,100%,0.0021,96%,100%,22%,-6%,0%,0%,-0.0043,0.0016,-0.0016,1%,0%,0%,97%,96%,95%,100%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.6,-0.1582,41%,100%,-0.0251,40%,100%,0.0016,96%,100%,0.0025,96%,100%,31%,-6%,0%,0%,-0.0025,0.0014,-0.0004,0%,0%,0%,96%,96%,95%,100%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.7,-0.1644,37%,100%,-0.0265,36%,100%,0.0002,96%,100%,0.0023,96%,100%,46%,-6%,0%,0%,-0.0020,0.0014,-0.0002,1%,0%,0%,96%,96%,96%,97%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.8,-0.1693,33%,100%,-0.0276,33%,100%,0.0007,96%,100%,0.0029,96%,100%,76%,-6%,0%,0%,-0.0004,0.0014,0.0006,0%,0%,0%,97%,96%,96%,62%,100%,100%,0,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.9,-0.1740,31%,98%,-0.0284,30%,98%,0.0005,96%,100%,0.0025,96%,99%,165%,-6%,0%,0%,-0.0003,0.0013,0.0007,0%,-1%,0%,96%,96%,96%,18%,93%,100%,0,100%,99%,100%
Symmetric,POViolated,strengthenedeffects,2400,1,0.1936,21%,79%,0.0314,21%,79%,0,95%,96%,0.0013,97%,81%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,96%,96%,96%,4%,49%,96%,0,97%,100%,100%
Symmetric,POMet,attenuatedeffects,2400,0.5,0.0000,96%,100%,0,96%,100%,0.0007,96%,100%,0.0024,96%,100%,0%,0%,0%,0%,-0.0043,0.0015,0.0000,1%,0%,0%,97%,96%,96%,100%,100%,100%,0,100%,100%,100%
Symmetric,POMet,attenuatedeffects,2400,0.6,0.0003,96%,100%,-0.0001,96%,100%,0.0005,96%,100%,0.0026,96%,100%,0%,0%,0%,0%,-0.0025,0.0014,0.0005,0%,0%,0%,96%,96%,96%,100%,100%,100%,0,100%,100%,100%
Symmetric,POMet,attenuatedeffects,2400,0.7,0.0006,96%,100%,-0.0001,96%,100%,0.0006,96%,99%,0.0026,96%,100%,0%,0%,0%,0%,-0.0020,0.0014,0.0007,1%,0%,0%,96%,96%,96%,97%,100%,99%,0,100%,96%,100%
Symmetric,POMet,attenuatedeffects,2400,0.8,0.0006,97%,89%,-0.0001,96%,89%,0.0012,96%,73%,0.0019,97%,89%,0%,0%,-1%,0%,-0.0004,0.0009,0.0005,0%,0%,0%,97%,96%,96%,62%,85%,76%,0,93%,51%,100%
Symmetric,POMet,attenuatedeffects,2400,0.9,0.0008,97%,30%,0.0001,96%,30%,0.001,96%,24%,0.0022,96%,30%,-1%,0%,-1%,-1%,-0.0003,0.0010,0.0011,0%,-1%,-1%,96%,96%,96%,18%,26%,24%,0,42%,11%,100%
Symmetric,POMet,attenuatedeffects,2400,1,0.0008,97%,3%,0.0001,97%,3%,0,96%,4%,0.0017,97%,3%,-,-,-,-,-0.0020,0.0004,-0.0060,-,-,-,96%,96%,96%,4%,4%,4%,0,10%,3%,100%
Symmetric,POViolated,attenuatedeffects,2400,0.5,0.1646,37%,100%,0.0259,37%,100%,0.0004,96%,99%,0.0026,96%,100%,-24%,7%,0%,0%,-0.0043,0.0016,0.0007,1%,0%,0%,97%,96%,96%,100%,100%,100%,0,100%,100%,100%
