sym_tag,po_tag,eff_tag,n,beta1_OR,poregbias,poregcov,poregp,wpbias,wpcov,wpp,bin7bias,bin7cov,bin7p,linbias,lincov,linp,pobiasz,wpbiasz,bin7biasz,linbiasz,nonPO_d0_bias,nonPO_d15_bias,nonPO_d30_bias,nonPO_d0_Zbias,nonPO_d15_Zbias,nonPO_d30_Zbias,nonPO_d0_cov,nonPO_d15_cov,nonPO_d30_cov,nonPO_d0_pow,nonPO_d15_pow,nonPO_d30_pow,sumnonpoErrFlag,nonPO_pow,nonpoLRTpower,nonpoConvProp
Heavy0,POViolated,attenuatedeffects,300,0.8,0.0579,95%,10%,0.0157,94%,11%,-0.0186,96%,5%,-0.0037,96%,6%,-26%,3%,-24%,4%,-0.0350,-0.0698,-0.1336,16%,95%,-174%,96%,96%,97%,18%,7%,3%,302,21%,16%,70%
Heavy0,POViolated,attenuatedeffects,300,0.9,0.0627,96%,4%,0.0118,95%,5%,-0.0148,96%,8%,-0.004,95%,5%,-59%,2%,-8%,-5%,-0.0400,-0.0722,-0.1353,38%,-162%,-69%,96%,95%,95%,9%,4%,6%,363,16%,14%,64%
Heavy0,POViolated,attenuatedeffects,300,1,0.0653,95%,5%,0.0085,95%,5%,-0.0055,96%,13%,-0.003,96%,9%,-,-,-,-,-,-,-,-,-,-,95%,94%,95%,5%,6%,10%,432,16%,15%,57%
Symmetric,POMet,strengthenedeffects,300,0.5,-0.0051,96%,94%,-0.0003,96%,94%,-0.0071,96%,81%,0.0005,96%,94%,1%,0%,1%,0%,-0.0086,-0.0050,-0.0102,1%,1%,1%,95%,96%,96%,75%,91%,78%,0,96%,64%,100%
Symmetric,POMet,strengthenedeffects,300,0.6,-0.0043,96%,71%,-0.0005,95%,71%,-0.005,96%,54%,0.0013,96%,71%,1%,0%,1%,0%,-0.0093,-0.0030,-0.0067,2%,1%,1%,96%,96%,95%,46%,66%,55%,0,78%,34%,100%
Symmetric,POMet,strengthenedeffects,300,0.7,-0.0027,96%,40%,-0.0003,96%,40%,-0.0025,96%,29%,0.0028,96%,40%,1%,0%,1%,0%,-0.0077,-0.0011,-0.0037,2%,0%,1%,95%,96%,95%,26%,36%,30%,0,52%,19%,100%
Symmetric,POMet,strengthenedeffects,300,0.8,-0.0014,96%,18%,-0.0002,96%,19%,-0.002,96%,14%,0.0028,96%,19%,1%,0%,1%,-1%,-0.0046,-0.0002,-0.0005,2%,0%,0%,95%,96%,96%,13%,16%,14%,2,28%,8%,100%
Symmetric,POMet,strengthenedeffects,300,0.9,0.0003,96%,8%,0.0001,96%,8%,-0.0003,96%,7%,0.0039,96%,8%,0%,0%,0%,-2%,-0.0010,0.0010,0.0005,1%,-1%,0%,94%,96%,95%,8%,8%,7%,4,17%,6%,100%
Symmetric,POMet,strengthenedeffects,300,1,0.0004,96%,4%,0.0001,96%,4%,-0.0011,96%,4%,0.0025,96%,5%,-,-,-,-,-,-,-,-,-,-,95%,96%,96%,5%,4%,4%,5,11%,5%,100%
Symmetric,POViolated,strengthenedeffects,300,0.5,-0.1587,89%,99%,-0.0237,88%,99%,-0.0135,96%,98%,-0.0034,96%,99%,23%,-6%,1%,0%,-0.0086,-0.0080,-0.0201,1%,1%,2%,95%,96%,96%,75%,99%,97%,0,99%,88%,100%
