sym_tag,po_tag,eff_tag,n,beta1_OR,poregp,wpp,bin7p,linp,nonPO_d0_pow,nonPO_d15_pow,nonPO_d30_pow,nonPO_pow,nonpoLRTpower,nonpoConvProp
Heavy0,POViolated,attenuatedeffects,1200,0.6,99%,99%,56%,94%,99%,92%,50%,99%,86%,100%
Heavy0,POViolated,attenuatedeffects,1200,0.7,83%,83%,28%,65%,84%,61%,24%,87%,51%,100%
Heavy0,POViolated,attenuatedeffects,1200,0.8,45%,45%,10%,28%,48%,27%,9%,53%,23%,100%
Heavy0,POViolated,attenuatedeffects,1200,0.9,11%,11%,5%,6%,14%,7%,5%,20%,11%,100%
Heavy0,POViolated,attenuatedeffects,1200,1,6%,6%,8%,6%,6%,6%,7%,14%,10%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.6,100%,100%,100%,100%,97%,100%,100%,100%,98%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.7,98%,98%,96%,98%,72%,97%,97%,99%,85%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.8,81%,81%,77%,82%,37%,73%,78%,86%,50%,100%
Symmetric,POViolated,strengthenedeffects,1200,0.9,37%,37%,41%,38%,13%,29%,43%,52%,19%,100%
Symmetric,POViolated,strengthenedeffects,1200,1,9%,9%,14%,10%,5%,7%,13%,19%,10%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.6,100%,100%,92%,99%,97%,99%,93%,100%,92%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.7,85%,85%,59%,83%,72%,83%,59%,89%,56%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.8,36%,36%,17%,34%,37%,35%,18%,51%,22%,100%
Symmetric,POViolated,attenuatedeffects,1200,0.9,8%,8%,5%,7%,13%,8%,5%,19%,10%,100%
Symmetric,POViolated,attenuatedeffects,1200,1,9%,9%,14%,10%,5%,7%,13%,19%,10%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.6,100%,100%,99%,100%,100%,100%,97%,100%,100%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.7,100%,100%,91%,99%,99%,99%,86%,100%,92%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.8,85%,85%,68%,84%,73%,81%,61%,89%,57%,100%
Heavy0,POViolated,strengthenedeffects,2400,0.9,34%,34%,37%,41%,24%,39%,31%,51%,21%,100%
Heavy0,POViolated,strengthenedeffects,2400,1,5%,5%,14%,9%,4%,8%,13%,19%,15%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.5,100%,100%,98%,100%,100%,100%,96%,100%,100%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.6,100%,100%,84%,100%,100%,100%,78%,100%,99%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.7,98%,98%,51%,90%,99%,89%,44%,99%,86%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.8,70%,70%,16%,47%,73%,46%,16%,77%,44%,100%
Heavy0,POViolated,attenuatedeffects,2400,0.9,18%,18%,6%,9%,24%,9%,5%,29%,16%,100%
Heavy0,POViolated,attenuatedeffects,2400,1,5%,5%,14%,9%,4%,8%,13%,19%,15%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.7,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.8,98%,98%,97%,99%,62%,95%,97%,99%,84%,100%
Symmetric,POViolated,strengthenedeffects,2400,0.9,65%,65%,68%,66%,18%,54%,70%,77%,39%,100%
Symmetric,POViolated,strengthenedeffects,2400,1,13%,13%,20%,13%,4%,9%,23%,28%,18%,100%
Symmetric,POViolated,attenuatedeffects,2400,0.5,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Symmetric,POViolated,attenuatedeffects,2400,0.6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Symmetric,POViolated,attenuatedeffects,2400,0.7,99%,99%,86%,99%,97%,98%,88%,99%,89%,100%
Symmetric,POViolated,attenuatedeffects,2400,0.8,63%,63%,31%,60%,62%,62%,31%,77%,43%,100%
Symmetric,POViolated,attenuatedeffects,2400,0.9,8%,8%,4%,7%,18%,9%,4%,24%,16%,100%
Symmetric,POViolated,attenuatedeffects,2400,1,13%,13%,20%,13%,4%,9%,23%,28%,18%,100%
